,Fecha,Criptomoneda,Precio,Variación 24h,Capitalización de mercado,Volumen
102,2020-11-20,Bitcoin,18628.813489036198,4.540219254959088,345552251091.16,28731271104.01
103,2020-11-21,Bitcoin,18689.528655825852,0.32592074006960736,346623937352.17,31201880851.78
104,2020-11-22,Bitcoin,18390.61184379203,-1.5993812232425908,342078349285.10,33010231293.96
105,2020-11-23,Bitcoin,18360.693300385865,-0.16268378485876367,340635146714.40,33389683851.43
106,2020-11-24,Bitcoin,19091.524181728702,3.9804100498072037,354209935573.80,49429532567.35
107,2020-11-25,Bitcoin,18753.288921684914,-1.7716514240779802,348158099247.16,32146102840.28
108,2020-11-26,Bitcoin,17138.029512395206,-8.613206014343133,317999016791.45,48738957776.52
109,2020-11-27,Bitcoin,17140.27555252362,0.013105591437989617,318057301370.38,30680336583.34
110,2020-11-28,Bitcoin,17718.972832629497,3.376242571670174,328812520405.74,24501260966.05
111,2020-11-29,Bitcoin,18169.95420978285,2.545189167641082,336495192223.01,23940328528.71
112,2020-11-30,Bitcoin,19609.52143957559,7.9227895302986795,363927715778.69,36160827241.44
113,2020-12-01,Bitcoin,18857.417371118165,-3.8354024639252193,349587593227.14,38614628143.57
114,2020-12-02,Bitcoin,19208.398191994624,1.8612348338538531,356517705143.29,28923102074.83
115,2020-12-03,Bitcoin,19435.20484740911,1.1807681887238797,360661550057.30,24342606870.71
116,2020-12-04,Bitcoin,18711.226549886927,-3.7250870428499505,347850442856.64,26369871383.26
117,2020-12-05,Bitcoin,19139.111575237486,2.2867823453997183,355244908734.65,23333284386.27
118,2020-12-06,Bitcoin,19325.55411859109,0.9741441896123693,358762118305.11,21832193872.70
119,2020-12-07,Bitcoin,19198.806493935343,-0.6558550604963909,356587934226.10,22034483383.95
120,2020-12-08,Bitcoin,18336.514581297808,-4.491382903983753,340435142947.91,26799991795.56
121,2020-12-09,Bitcoin,18564.986455688137,1.245994015805807,344693077429.97,29806757748.85
122,2020-12-10,Bitcoin,18262.058384653155,-1.631717166926172,339714540194.35,24092658533.60
123,2020-12-11,Bitcoin,18058.027339569555,-1.117240131348296,335310805699.29,26080197328.25
124,2020-12-12,Bitcoin,18807.09540322016,4.148116787979461,349235537025.79,21918803313.73
125,2020-12-13,Bitcoin,19151.13442340493,1.829304381185115,355642790361.32,23550581096.07
126,2020-12-14,Bitcoin,19259.97047153096,0.5683007894979886,357681110300.36,21638023119.82
127,2020-12-15,Bitcoin,19432.362456862407,0.895079177749869,360542942204.96,24173322660.11
128,2020-12-16,Bitcoin,21317.66213678684,9.701855263916471,396179736655.64,39062639738.05
129,2020-12-17,Bitcoin,22805.65580598891,6.980097815859065,423587689809.28,60693764158.56
130,2020-12-18,Bitcoin,23120.57055156752,1.380862485418688,429459534590.42,37000188847.41
131,2020-12-19,Bitcoin,23863.85484171969,3.2148181140009724,443289431125.46,35252972899.69
132,2020-12-20,Bitcoin,23518.31842054723,-1.4479488894995285,436893169132.71,32907758817.84
133,2020-12-21,Bitcoin,22840.991707188354,-2.8799963553819308,424329939581.78,38423396405.39
134,2020-12-22,Bitcoin,23794.79330262859,4.175832676915081,441752551013.19,38733771616.27
135,2020-12-23,Bitcoin,23308.12723217715,-2.0452628617609325,433051601800.69,42917744239.82
